name,title,authors,institutions,abstract
Mila Matney,Orbitrap-MS Characterization of Polycyclic Aromatic Hydrocarbons on the Asteroid Bennu,"Mila Matney^{1}, Kate Freeman^{1}","^{1}Department of Geosciences, The Pennsylvania State University, University Park, PA, USA","The return of material from the carbonaceous chondrite asteroid Bennu by the OSIRIS-REx mission provides a unique opportunity to explore pristine organic matter sourced from the origins of the Solar System. Many classes of organic compounds have been identified on Bennu, including bio-relevant molecules like amino acids, nucleobases, and sugars. Aromatic compounds found in carbonaceous chondrites are of particular interests they are prevalent both in soluble and insoluble organic fractions and have diverse potential origins, ranging from cold interstellar chemistries to high temperature reactions in circumstellar environments in addition to reactions occurring post-accretion on the asteroid parent body. Previous analyses have confirmed the presence of 2-6 ring polycyclic aromatic hydrocarbons (PAHs) on Bennu, with a greater proportion of smaller forms than in studied meteorites. We will further investigate these trends using Orbitrap mass spectrometry (MS) which combines high mass resolution and low detection limits to allow for accurate measurements in sample-limited situations, like that of Bennu. The quantification of major PAH species and overall population of aromatics will be reported on, in the context of other meteorite samples and the history of the Solar System."
Alejo Giraldo,Three new Atherospermataceae species fromthe middle Eocene add 35 million years to the family’s Australian history,"L. Alejandro Giraldo^{1}, Peter Wilf^{1}, Raymond J. Carpenter^{2 }","^{1}Department of Geosciences, The Pennsylvania State University, University Park, PA, USA\n^{2}School of Biological Sciences, Adelaide University, Adelaide, SA, Australia","The southern sassafras’s (Atherospermataceae) are a small plant family of ca. 16 species, ten of which are endemic to Australia. Despite being a dominant element of Australian rainforests today, the earliest continental record of the family dates to the Plio–Pleistocene of Tasmania, thereby limiting interpretations of Atherospermataceae biogeography. Here, we describe three new Atherospermataceae species based on organically preserved leaves from the middle Eocene (ca. 41–38 Ma) Anglesea flora of southeastern Australia, representing the terminal phase of Gondwana. The fossils were examined using light, epifluorescence, and confocal microscopy, and compared with extant material, including all extant Atherospermataceae genera, using the literature, herbarium specimens, cleared-leaf material, and cuticle preparations. Based on leaf architecture and cuticular morphology, two species are assigned to the living genera *{Doryphora} and *{Laurelia}, while a third, characterized by a densely papillate abaxial epidermis not seen in any living member of the family, is placed in a new fossil genus. These fossils extend the Australian macrofossil record of Atherospermataceae by ca. 35million years, provide the only pre-Neogene evidence of the family in Australia, and show that Atherospermataceae were already diverse and well-established in southeastern Australia by the middle Eocene, during the final stage of Gondwanan fragmentation. The occurrence of *{Laurelia} at Anglesea provides direct evidence that the genus, now extant in New Zealand and southern South America, once extended across a broader range than its modern relicts and prior fossils indicate, and suggests that Australia could have acted as the source or “stepping-stone” region for *{Laurelia} in New Zealand."
Mingxi​ Hu,Decoding the Late Paleozoic Ice Age Paradox: Basin-Scale Filtering of Global Climate Signals,"Mingxi Hu^{1}, Elizabeth Hajek^{1}, Brian Kelley^{1}","^{1}Department of Geosciences, The Pennsylvania State University, University Park, PA, USA","The stratigraphic record is our primary archive for understanding Earth’s climate history and dynamics, yet sedimentary basins are active filters that ""shred, "" amplify, or distort original climate signals. This challenge is particularly acute in icehouse periods, such as the Late Paleozoic Ice Age (LPIA), regarding its tropical hydroclimate, temperature, and atmospheric circulations. It remains unclear whether these contradictions reflect fundamentally different mechanisms to the Pleistocene, or our inability to read LPIA records across boundary conditions.\nI propose to resolve this ambiguity by systematically comparing two equatorial Laurentia basins: the Bird Springs (BS) passive margin and the Midcontinent epeiric sea (MS). While both experienced similar tropical climate, they differed in oceanography, terrestrial flux, and accommodation. By integrating lithostratigraphy, geochemistry (B/Ga for paleosalinity; CIA for weathering), and fauna assemblages, I aim to quantify how basin boundary conditions tuned climate records. I hypothesize that the restricted MS basin amplifies high-frequency, regional ""noises ""decoupled from global trends, whereas the open-marine BS basin provides a better-fidelity archive for global climate forcing. Further comparison to other PIA records from various latitudes and locations will test whether LPIA climate patterns (e. g., ITCZ shifts) align with Pleistocene mechanisms. This research establishes sensitivity baselines for comparing local vs. global sedimentary records, providing a critical framework for 1) reconstructing past climate, 2) predicting future climate with geographical differences, and 3) informing resource management."
Sabrina Ashik,Leakiness Variability in Arctic River Deltas from SWOT Water Surface Elevation Observations,"Sabrina Ashik^{1}, Anastasia Piliouras^{1}","^{1}Department of Geosciences, The Pennsylvania State University, University Park, PA, USA","Arctic river deltas play a critical role in regulating the delivery of freshwater, sediment, and nutrients to the coastal ocean, influencing sea ice dynamics and coastal ecosystems. Discharge and sediment concentrations are often measured upstream at the delta apex, and how these fluxes are partitioned and redistributed across distributary networks remains poorly understood. Flow partitioning within these networks depends on their hydraulic structure, including the degree of lateral exchange between channels and adjacent islands. One metric used to quantify this behavior is channel-island “leakiness, ” formulated by Hines and Piliouras (2024), which represents the likelihood of water leaving the channel as a function of channel geometry and water surface gradient. Leakiness has been calculated for the Mackenzie Delta using historical water level and discharge data from gauge stations; however, its variability across Arctic systems remains poorly constrained at basin scales due to sparse in situ observations. In this study, we quantify temporal and spatial variability in channel-network leakiness across major Arctic deltas using remotely sensed Water Surface Elevation (WSE) data from the Surface Water and Ocean Topography (SWOT) mission.\nWe extracted SWOT WSE time series at apex and outlet locations from August 2023 to January 2026, used WSE as a proxy for water level, and calculated monthly leakiness values. We then evaluated the relationship between leakiness and discharge using the framework proposed by Hines and Piliouras (2024). Preliminary results indicate a consistent positive relationship between discharge and leakiness at both apexes and outlets, with stronger sensitivity at the apex locations than at the outlets. However, we observed large inter-delta difference, suggesting that leakiness-discharge relationships derived from a single system cannot be generalized across Arctic deltas. These findings advance our understanding of flow partitioning in Arctic distributary networks and establish a foundation for quantifying large-scale hydraulic connectivity from satellite observations."
Ash Keenan,Morphodynamic Variability Between River Delta Experiments With Identical Input and Boundary Conditions,"Ash Keenan^{1}, Anastasia Piliouras^{1}","^{1}Department of Geosciences, the Pennsylvania State University, University Park, PA, USA","Flume experiments are valuable tools for simulating and studying complex sediment transport and morpho dynamic processes that are difficult to observe in natural environments. However, these experiments are resource-intensive and thus rarely repeated, raising questions about the reproducibility of results. This research utilizes a series of five identical experiments (Su1–Su5) repeated under the same input and boundary conditions in order to investigate the inherent variability between physical delta experiments. We examine variations in delta characteristics such as area growth, wetted frequency, perimeter/area ratio, shoreline roughness, and fractal dimension using overhead photography and 3D photogrammetry. Preliminary results show that area growth rates remain positive and approximately linear across all trials, reflecting constant progradation under uniform water and sediment input, though final delta sizes diverge slightly. Wetted fraction values are comparable among experiments (means ~0.40–0.55), indicating occupation of a similar partially channelized regime. Perimeter/area ratio exhibits a consistent downward trend as deltas expand, with small fluctuations driven by planform differences. In contrast, shoreline roughness reveals meaningful divergence: Su3 experienced a major late-stage channel avulsion that produced fewer, larger distributaries and a sustained increase in shoreline complexity relative to the other experiments, which were characterized by gradual channel migration and numerous smaller outlets. Fractal dimension captures greater similarity of the shoreline overall but also reflects elevated complexity in Experiment 3 following avulsion. Ongoing work will incorporate earlier experimental hours and analyze photogrammetry-derived digital elevation models to assess differences in slope and channel relief. Together, these results demonstrate that while many bulk morpho dynamic metrics are statistically similar under identical forcing, stochastic events can generate measurable divergence, underscoring the importance of replication in experimental geomorphology."
Laura Kelsall,Microtextural controls on the dissolution of monazite and zircon during biotite-dehydration melting,"Laura Kelsall^{1}, Peter Kelemen^{2}, Andrew Smye^{1}","^{1}Department of Geosciences, The Pennsylvania State University, University Park, PA, USA\n^{2}Columbia University, Lamont Doherty Earth Observatory, Palisades, NY, USA","Differentiation of the continental crust into an upper layer enriched in heat-producing elements (U, Th, K) and a complementary lower crust depleted in these elements is key for continental stability (e. g., Mareschal & Jaupart, 2013; Sandiford et al., 2002). Recent analysis indicates that ultrahigh temperatures (>900°C) may be required to effectively redistribute U and Th from the lower to upper crust (Smye &Kelemen 2025). Such temperature requirements are at odds with equilibrium thermodynamic modelling (Yakymchuck & Brown, 2014), and so the exact mechanism that accounts for this observation is uncertain.\nHere we test the hypothesis that mineral armoring modulates the dissolution of monazite and zircon—key Th and U carrier phases, respectively—in silicate melt produced during biotite-dehydration melting. We present microtextural and trace element geochemical observations from a suite of aluminous metasedimentary rocks (Ivrea-Verbano Zone) that preserve a record of partial melting under peak temperatures spanning the biotite-dehydration melting interval (700-900°C). Automated SEM mapping of thin sections reveals a strong positive correlation between biotite and monazite modal abundances. In the amphibolite-facies samples 8-27% of monazite is either included or adjacent to biotite grains whereas in granulite-facies and ultrahigh temperature samples that decreases to 0-22% and 0% respectively. The amount of monazite included in garnet increases from 3-10% in amphibolite to75% in ultrahigh temperature samples. Zircon abundance is poorly correlated to biotite but still shows a similar trend of decreasing association with biotite (15-44% to 0%) and increasing association with garnet (3-29% to 38%) from amphibolite to ultrahigh temperature samples.\nThese findings suggest that the textural availability of accessory phases imposes an important control on the flux of U and Th into silicate melt produced during anatexis. Prior to the consumption of biotite, included carrier phases may be shielded from interacting with melt; peritectic growth of garnet serves to sequester carrier phases in the residuum. Work is ongoing to incorporate this microtextural framework into a forward model describing the evolution of melt U, Th concentrations during biotite-dehydration melting and to explore implications for crustal differentiation."
Drew Moreland,Understanding how flow variability and sea level rise impact delta morphodynamics,"Andrew Moreland^{1 }, Liz Hajek^{1}, Anastasia Piliouras^{1}","^{1}Department of Geosciences, The Pennsylvania State University, University Park PA, USA","Global temperatures are rising, accelerating sea-level rise that threatens the stability of deltaic environments. More than 300 million people live in or near vulnerable delta systems, many of which already experience land loss, subsidence, and amplified flood hazards. Global warming is also influencing river discharge patterns, which can trigger more abrupt avulsions and potentially deadly floods.\nMost existing studies have examined sea-level rise and flow variability independently. However, these processes often operate simultaneously in deltas, meaning their combined effects on channel mobility, sediment distribution, and avulsion behavior remain poorly constrained. This project aims to address this gap by experimentally investigating how sea level rise and discharge variability affect delta dynamics both individually and together.\nMy experiments will be conducted in the Sediment and Natural Dynamics Basin for Observation and eXperiments (SANDBOX), a controlled physical basin that allows direct manipulation of sea-level rise and discharge variability. Over the course of my M. S. research, I will conduct approximately nine experiments looking at how sea level rise and discharge variability will affect channel mobility. Stratigraphic analyses will follow to quantify differences in sediment deposition and avulsion signatures across runs.\nMy hypothesis is that rising sea levels and increased flow variability will accelerate shoreline change and increase avulsion frequency in deltaic systems. From this we will learn more about stratigraphic stacking patterns and have a better understanding of accommodation and sediment supply. By linking sea-level forcing with flow variability, it fills a key gap in geomorphology for interpreting natural deltas. The broader significance lies in improving hazard assessment and management strategies for vulnerable coastal regions."
Doni Anderson,Exploring Deltaic Stratigraphy in Arctic Environments,"Doni Anderson^{1}, Anastasia Piliouras^{1}, Benjamin Cardenas^{1}","^{1}Department of Geosciences, The Pennsylvania State University, University Park, PA, USA","River deltas leave deposits that hold a useful record of past environmental conditions. Arctic deltas on Earth provide insights about how ice cover and permafrost affects depositional patterns, potentially holding clues to constrain identification of ancient deltas that may have formed under the influence of ice. Despite its current presence and abundance, deltaic stratigraphy in Arctic environments has not been heavily explored, limiting our understanding of ancient deltas. We aim to fill this gap.\nWe used numerical models of deltamorphodynamics in Arctic conditions to examine how permafrost and ice impact delta stratigraphy. We used stratal volumes produced by these models to explore differences between permafrost at varying erodibilities and different ice thicknesses (no permafrost to 65% permafrost erodibility and no ice to 4.5m ice thickness), and to quantify sand fraction throughout the delta. Preliminary results show that ice and permafrost have a noticeable impact on delta formation. As ice thickness increases and permafrost erodibility decreases, there is an increase in mud in the delta plain, likely resulting from sand being bypassed out of the subaerial system because the permafrost inhibits accommodation for the sediment supply. Sand fraction generally decreases down delta, but the combination of thicker ice and lower permafrost erodibility results in a shallower decrease in sand fraction in comparison with thinner ice/higher permafrost erodibility or no ice/no permafrost model run outputs. Whence thickness decreases and permafrost erodibility increases, there is more mixing of the mud and sand sediment throughout the delta, resulting in a higher sand fraction overall. Future analyses will describe channel patterns by quantifying channel lateral mobility and vertical stacking and measuring channel geometry. This work will continue to explore the implications of these findings for connections between ancient delta stratigraphy and paleoclimate. These first steps could prove useful for ancient delta studies on places such as Mars where its paleoclimate is still uncertain."
Edo Nurshal,Fault Slip and Fluid Flow: Seismic Source Analysis of Slip Patches and Their Role in Fault Permeability,"M. Edo Nurshal^{1}, Junpeng Wang^{2}, Pengliang Yu^{1, 2}, Tushar Mittal^{1}, Derek Elsworth^{1, 2}","^{1}Department of Geosciences, The Pennsylvania State University, University Park, PA, USA\n^{2}Department of Energy and Mineral Engineering, The Pennsylvania State University, University Park, PA, USA","Fluid injections can trigger fault reactivation, microearthquakes (MEQs), and permeability changes that are critical for geothermal energy production and subsurface waste disposal. Recent studies have shown that fault permeability can be quantitatively predicted from the cumulative seismic moment released by MEQs. To investigate the physical mechanisms behind this relationship, we conducted laboratory fault reactivation experiments on a Utah FORGE granitoid sample and analyzed acoustic emission (AE) signals generated during stepwise increases in injection pressure. Frequency analysis of thousands of calibrated AE signals reveals that fault reactivation occurs through the activation of numerous AE source patches with millimeter-scale radii, far smaller than the fault surface of the sample. The cumulative area of these reactivated patches exceeds the fault area by approximately one to two orders of magnitude (~10–50×) during each pressure step. These results demonstrate that permeability enhancement is not driven bay single large slip event but emerges from the sequential activation and interaction of multiple slip patches that progressively establish a connected flow pathway."
Guilherme Zakarewicz,DAS–Geophone MASW in Permafrost: Lateral Variability and Implications for Subsurface Characterization in a Changing Arctic,"Guilherme Zakarewicz^{1}, Gabriel Rocha dos Santos^{1}, Tieyuan Zhu^{1}, Ming Xiao^{2}, Eileen R. Martin^{3}, Ziyi Wang^{4}","^{1}Department of Geosciences, The Pennsylvania State University, University Park, PA, USA\n^{2}Department of Civil and Environmental Engineering, The Pennsylvania State University, State College, PA, USA\n^{3}Department of Geophysics, Department of Applied Math and Statistics, Colorado School of Mines, Golden, CO, USA\n^{4}Department of Civil and Environmental Engineering, Colorado School of Mines, Golden, CO, USA","Permafrost is a subsurface condition where soil or rock remains below freezing temperatures for at least two consecutive years, covering large portions of the Northern hemisphere and Alaska. However, recent climate changes are accelerating its degradation, resulting in subsidence, riverbank erosion, and infrastructure damage. Detecting and tracking permafrost change remains challenging because many traditional observations are expensive and invasive. In this context, geophysical methods offer a practical complement by identifying differences in the physical properties. For instance, elastic seismic wave speeds respond strongly to variations in ice and liquid water content.\nIn this study we compare Vs profiles derived from (i) a distributed acoustic sensing (DAS) fiber and (ii) conventional geophone arrays at five different locations in Utqiaġvik, Alaska. Since the DAS and geophones were not exactly co-located (5-45 meters offset), the comparison provides enough lateral separation to test spatial variability. Although some sites presented similar Vs profiles, others showed larger discrepancies, exceeding the uncertainty bounds (typical ΔVs of ~100–400 m/s). We interpret those differences as reflecting lateral heterogeneity at dozen-of-meters scales rather than differences in the acquisition systems. To provide a quantitative example of a physical parameter that could illustrate the observed differences, we apply a rock-physics relation to estimate ice/water volumetric content and quantify how much variability in water saturation would be required to explain the observed Vs differences (typical ΔSw of ~0.15). We also compare the Vs-derived saturation profiles with temperature-based estimates from power-law relationships reported by an independent study to check plausibility.\nOur results show that permafrost should not be treated as laterally uniform when constructing velocity models and interpreting time-lapse changes, especially in coastal polygonal tundra where we expect variations in ice content, salinity and porosity. Furthermore, spatially dense measurements are essential for interpreting apparent changes in regions with complex cry structure and hydrology."
Ula Filipowicz,Modelling the Subduction Interface: The Role of Cohesion in Fault Stability,"Urszula Filipowicz^{1}, Donald Fisher^{1}, John Hooker^{2}, Tushar Mittal^{1}","^{1}Department of Geosciences, The Pennsylvania State University\n^{2}Department of Atmospheric Science, Environmental Sciences, University of Incarnate Word","Earthquakes are among the most significant geohazards on Earth, with the largest events occurring along subduction zones. The mechanisms responsible for unstable slip along megathrust faults are believed to be primarily controlled by friction, normal stress, and fluid pressure. These concepts are reflected by earthquake models, which typically assume slip follows the rate-and-state friction laws, where friction evolves in response to velocity stepping, but cohesion is not included in the calculations. More recent experimental work, described by the CNS model, has shown that cohesion might be an important aspect to consider when determining the type of failure that will occur along the subduction interface, highlighting how behavior of faults can be defined from grain-scale mechanisms. Based on this microphysical research whilst also challenging the current paradigm, the hypothesis of this study is that cohesion variations can trigger fault instabilities independent of velocity weakening.\nIn order to test the role of cohesion, a numerical framework called the MEFISTO (*{Mineralization, Earthquake, and Fluid flow Integrated SimulaTOr}) model will be used. By simplifying the problem to a zero-dimensional block, the separated effects of cohesion and friction can be examined and quantified. This will improve MEFISTO’s ability to simulate earthquake nucleation and strengthening, allowing predictions for how different variables such as temperature and strain rates during interseismic periods affect cohesion, which can impact slip behaviour and result in earthquakes. Once cohesion is incorporated into the full MEFISTO framework, the resulting forecasts of earthquake size and distribution will be compared with the Global Centroid Moment Tensor (GCMT) catalogue to evaluate the predictions of the model, and hence, the significance of cohesion in fault stability. Such results would develop understanding of subduction zones and guide future applications of the model directly to field observations and laboratory analysis."
Zach Baran,Stratigraphy and Paleohydrology of Fluvial Deposits Near Juventae Chasma in Mars’s Southern Highlands,"Zachary J. Baran^{1}, Benjamin T. Cardenas^{1}","^{1}Department of Geosciences, The Pennsylvania State University, University Park, PA, USA","Sedimentary basin stratigraphy records information about a region’s past depositional environments. Ancient fluvial deposits on Mars are often found within regional or large-scale topographic lows like craters or along the margin of the northern lowlands. However, a recent study showed that abundant fluvial strata also exist in the southern highlands, suggesting that stratigraphic basins also exist in locations incongruent with the modern topography. One of these southern highland strata locations is Juventae Plateau (62.5°W 4.50°S). Previous studies have identified hydrated sulfate minerals in strata across the plateau, as well as ancient river channel deposits, suggesting past water, but stratigraphic relationships have not been quantified and a depositional setting to explain both features has not been put forward.\nWe used high-resolution satellite images and digital elevation models to map ridges previously interpreted to be exhumed river-channel belts based on exposed point-bar structures and stacking patterns similar to exhumed channel belts on Earth and elsewhere on Mars. We measured the thicknesses of layered beds and ridges and found that ridges are consistently thicker than the layered deposits. The total elevation range occupied by the ridges and layered deposits suggests over 250 meters of basin fill. We measured orientations of strata and found both relatively flat-lying beds and inclined, truncated strata, which we interpret as fluvial floodplain and bar deposits respectively. Dip direction and exposed point-bar structures suggest a paleo flow direction of north-to-south, which is notably opposite to the modern regional topographic slope.\nWe measured ridge caprock thicknesses to reconstruct paleochannel depths and to look for downstream changes in paleochannel depth, testing hypotheses for deltaic (downstream thickening) and terminal fan (downstream thinning) channels, further constraining the depositional setting. Reconstructed channel depths were also used to better understand water availability and climate during basin filling by reconstructing water discharge using established relationships."
Olivia DiPrinzio,"What Factors Drive Farmers’ Climate Risk Perceptions? A case study in Chitwan, Nepal","Olivia DiPrinzio^{1, 2}, Nicolas Choquette-Levy^{1, 2}","^{1}Department of Geosciences, The Pennsylvania State University, University Park, PA, USA\n^{2}Earth and Environmental Systems Institute, The Pennsylvania State University, University Park, PA, USA","Under climate change, global crop yields are projected to decline significantly, with staple crops showing reductions of up to 10% per degree of warming (°C). Particularly, this reality is most impactful on socio-economically vulnerable communities, such as farmers in South Asia, whose incomes are predicted to decline by 28% annually on average due to climate change’s impacts. Concurrently, climate and agricultural policies worsen existing adverse circumstances by omitting community climate risk perceptions. Such policy frameworks fail to integrate community-specific risks, tolerance, and exposure, thereby threatening livelihoods reliant on agriculture. To date, there is a limited understanding of the effectiveness of risk-informed policies under climate change uncertainty, whether in standalone analyses or compared with non-risk-informed policies.\nTo address this gap, multivariate statistical methods were employed to examine the drivers of farmers’ hazard risk perception in Chitwan, one of Nepal’s most climate-vulnerable regions, using a 2022survey. Guiding this process, causal modeling identified three key feedback mechanisms hypothesized to govern farmers’ reported exposure: insurance levels, remittance income, and perspectives on farming as a livelihood strategy. Initial statistical analysis demonstrates the importance of groundwater and irrigation accessibility, the varied influence of demographic variables, and remittances’ minimal influence on the frequency of self-reported exposure to climate-influenced hazards, the last of which contradicts the proposed hypothesis of remittances’ impact. Our results demonstrate inherent variability in hazard perceptions, such that while certain drivers are relevant across all hazards, a more tailored approach to driver consideration is required. Consequently, a signal exists for hazard-specific policies, such as hazard-specific vulnerability indices. As these are initial results, next steps include statistical analysis of farmers’ perceptions of future risks, time-series analysis to provide a more nuanced view of variability imperceptions, self-reports compared against climatological data (e. g. SPEI), and an exploration of hazard-specific exposure policies."
Jasmine Walker,The Role of Fine Sediment in Channel Mobility Stratigraphic Architecture,Jasmine Walker^{1},"^{1}Department of Geosciences, The Pennsylvania State University, University Park, PA, USA","Understanding how fluvial systems respond to change and record the history of landscape changes is essential for sustainably managing ecosystems, remediating environmental contaminants, efficiently exploring for natural resources, and successfully mitigating risks associated with river movements and floodplain inundation. Rivers play a key role in shaping the modern landscapes we inhabit and the buried deposits that form stratigraphy, from which we interpret the history of surface conditions on Earth. The integrated effect of silts and clays on fluvial landscape dynamics is recorded in the stratigraphic architecture of ancient river deposits and can enhance or occlude fluid flow in buried aquifers and reservoirs. Understanding how fine-sediment supply impacts channel mobility, stratigraphic architecture, and subsurface fluid flow is, therefore, key for reconstructing paleo-landscape conditions and predicting the distribution and connectivity of subsurface reservoirs, aquifers, and potential geothermal and carbon storage sites.\nA key challenge in understanding the relationship between the supply of fine sediment and resulting stratigraphic architecture is the interplay between processes occurring at both spatially and temporally variable scales. I aim to close this gap through inquiry into modern rivers and ancient river deposits that assess the role of fine sediment in channel mobility and long-term channel stratigraphic architecture, or “stacking”, in sedimentary basins. Using a combination of remote sensing of modern rivers, subsurface (seismic and well log) observations of ancient river deposits, and numerical modeling, I propose to answer the following science questions: (1) How does suspended-sediment supply impact channel mobility in global alluvial rivers? (2) What is the relationship between fine-sediment supply, channel mobility, and channel-belt depositional architecture influvio-deltaic settings?"
Ran He,Iron carbonate as a robust archive for reducing paleoenvironmental conditions: oxygen and clumped isotopes evidencefrom burial diagenesis,"Ran He^{1}, Max K. Lloyd^{1}, Brian Currie^{2}, Miquela Ingalls^{1}","^{1}Department of Geosciences, The Pennsylvania State University, University Park, PA, USA\n^{2}Department of Geology and Environmental Earth Science, Miami University, Oxford, OH, USA","Siderite (FeCO_{3}) is a redox-sensitive carbonate mineral that is pervasive in the rock record and can enable reconstructions of ancient reducing environments on Earth and Mars. However, post-depositional processes like burial diagenesis and surficial weathering can alter primary isotopic signatures through dissolution and reprecipitation (δ^{13}C, δ^{18}O and T(∆_{47}), limiting the reliability of these proxies. Unlike calcite and dolomite, the susceptibility of isotopic clumping in siderite to overprinting by these processes is poorly understood. We hypothesize that siderite is more resistant to these processes than calcite during fluid-mediated diagenesis due to its lower solubility. To test this hypothesis, we analyzed siderite and calcite samples from the Paleocene Fort Union Formation in the Wind River Basin, Wyoming. We collected coeval terrestrial siderite concretions and cement from two outcrops and six drill cores spanning a range of maximum burial depths (1.5-3.5km) due to tectonics, allowing us to distinguish between water-rock alteration during burial diagenesis and surficial weathering.\nAll calcite samples yield elevated T(∆_{47}) temperatures (44.5±1.2°C to 55.9±2.6 °C) paired with low and variable δ^{18}O values (-18.9 to -11.2‰), whereas siderite from outcrops and shallow cores records plausible Earth surface temperatures (9.1^{+5.7}/_{-5.4}°C to 27.6^{+5}/_{-4.8} °C). °C). Two micritic siderite ∆_{47}from deepest core (3.5 km burial) however, shows elevated T(∆_{47}) temperatures (43.7±0.9°C to 60.2^{+4.9}/_{-4.7} °C), indicating resetting through recrystallization. Of these two altered siderite samples, one exhibits textural and chemical evidence of recrystallization during burial under scanning electron microscopy, while the other shows no petrographic signs of alteration. Combining T(∆_{47}) and δ^{18}O, water-rock interaction model suggests the altered siderite has experienced rock-buffered diagenesis (water-to-rock ratio<0.5), whereas calcite has experienced fluid-buffered diagenesis (water-to-rock ratio>1). Together, these results demonstrate that siderite δ^{18}O and T(∆_{47}) are more robust to burial alteration than calcite, highlighting the potential of siderite as a reliable proxy for ancient reducing aqueous environments."
Yusuke Kubota,The role of the mantle decompaction layer in Hadean volcanism,"Yusuke Kubota^{1}, John Rudge^{2}, Bradford Foley^{1}","^{1}Department of Geosciences, Pennsylvania State University\n^{2}Department of Earth Sciences, University of Cambridge","How the very early Earth lost its internal heat remains a subject of debate. Early Earth may have been characterized by extensive magmatism due to a hot mantle, which then acted as the primary heatless mechanism, or been more volcanically quiescent, where heat conduction through the lithosphere served as the primary heat loss mechanism. The primary mode of early Earth heat loss would then strongly influence tectonics and crust formation, the long-term thermal evolution of the interior, and surface environments where life could originate in the Hadean or Eoarchean.\nOur recent crustal evolution model suggests that mantle melt production and mafic extrusive volcanism must have been limited prior to 3.6 Ga to remain consistent with Hf isotope data. We hypothesized that these geochemical constraints require a 'quiescent Earth ‘with a low melt production rate (<0.6 mm/yr). However, the actual magma supply is governed by complex geodynamic factors: specifically, the mechanics of melt generation, ascent, and accumulation at the mantle-crust boundary. Understanding these physical mechanisms is critical, particularly when evaluating high-flux regimes such as heat-pipe tectonics, which may be incompatible with the low rates inferred from the geochemical record.\nA critical phenomenon affecting this supply is the formation of a decompaction layer beneath the mantle-crust interface. Since the crust acts as a rigid thermal boundary, temperatures drop rapidly near this interface. Consequently, ascending melt encounters a freezing horizon that acts as a permeability barrier, causing it to accumulate. Within this zone, the decompaction layer and accumulated magma generate significant melt overpressure relative to the solid matrix, driving magma into the plumbing system and initiating ascent. Therefore, characterizing the dynamics of the decompaction layer is crucial for understanding the physical controls on melt supply.\nRecent numerical modeling of Io, an active heat-pipe body, demonstrates that crustal thermal structure is controlled by the physics of two-phase melt transport. This model suggests that magma transport is driven by mantle overpressure at the decompaction layer but limited by solidification within the plumbing system. Applying this physical framework to the Hadean, we tested which mantle dynamics and temperature ranges are compatible with the restricted melt fluxes required by the geochemical record. Preliminary results demonstrate the existence of a decompaction layer, where both effective pressure and extraction rates increase significantly with porosity. By systematically exploring the parameter space, we identify the specific mantle geodynamic conditions required to align plateau melting tectonics with the Hf isotope constraints."
Oliver Neilson,Quantifying the timing and volume of volcanic degassing in deep time: A case study from the Sinemurian – Pliensbachian Boundary Event,"Oliver Neilson^{1}, Isabel M. Fendley^{1}","^{1}Pennsylvania State University, State College, PA, USA","Understanding deep-time climatic perturbations relies on quantifying the initial drivers them. Earth system perturbations are highly sensitive to, among other parameters, the timing and duration of volcanic degassing. Currently, these parameters are coarsely constrained, with volatile estimates coming from melt inclusion data and radiometric dating^{1}.However, recent work has highlighted the power of combining sedimentary mercury (Hg), a volcanic tracer, and Hg cycle box models to estimate the tempo and volume of volcanic degassing in deep time^{2}.\nHere, we present a quantitative high-resolution degassing history through the Sinemurian - Pliensbachian Boundary Event (SPBE). This protracted negative “U-shaped” carbon isotope excursion lasted for over 4 million years in the Early Jurassic (ca. 190 Ma). We utilize over 1600 samples collected from the recently drilled core at Prees, Cheshire Basin, U. K., as part of the International Continental Scientific Drilling Program JET project.\nThe SPBE is broadly coeval with increase drifting from the break-up of Pangea, the opening of the Hispanic Seaway, and a pulse of volcanic activity from the Central Atlantic Magmatic Province^{3–5}, all of which may have contributed to its shape and duration. We quantify the tempo and volume of volcanic degassing during the SPBE using a geochemical machine-learning framework to isolate volcanically sourced Hg, followed by identification of the best-fit degassing scenarios using a global Hg box model. To see how this would affect the carbon isotope record, we use the best-fit degassing scenario as an input to a carbon cycle model. We compare the modelled record to the observed record and discuss major differences.\nThis novel method allows for a clearer picture of past climatic feedbacks and Earth system dynamics; quantifying past climatic changes and their drivers are essential for better contextualizing modern and future climate change."
